[-0.174631,6.860019,6.026347,5.384973,4.439262,4.450933,3.552743,4.066904,2.919245,1.921669];
[-0.339572,7.269045,5.255629,5.228974,4.311761,4.323913,4.055178,3.087054,2.185629,2.304016];
[-0.573254,6.876798,5.557671,5.707200,4.836710,4.693573,3.703596,2.968913,2.339754,2.114897];
[-0.941581,7.227598,5.761351,5.308926,4.440164,4.151866,3.490937,3.863283,2.824457,1.559151];
[-1.026067,6.506646,5.520854,8.004482,5.561629,4.844787,4.173260,2.097211,1.832705,2.597324];
[-0.403840,7.128743,5.592531,4.419789,3.907732,4.288236,3.649658,3.750251,3.087708,3.046222];
[0.336321,6.280960,4.230550,5.313420,4.337434,4.461694,3.331524,3.803391,3.380426,2.422145];
[0.656725,6.884895,4.934400,4.743373,4.129587,4.115225,3.605171,2.787783,2.428057,2.017403];
[-0.196405,7.410773,6.003703,4.445064,4.245107,4.345694,4.366747,2.797682,2.681741,2.306602];
[0.588414,7.367954,4.974022,4.933611,2.893646,3.971855,3.410427,4.039519,3.188623,2.696570];
