[0.735574,7.051990,6.111274,6.407473,4.509209,4.651483,3.214515,2.609751,1.119045,0.276144];
[0.177271,7.356922,5.959943,6.026327,4.861230,4.670940,3.357763,2.722891,0.942313,0.741525];
[-0.667649,8.491521,6.555258,6.149200,4.957548,4.412689,3.499473,2.031138,0.750780,0.396144];
[0.161459,8.023388,6.561107,5.625500,4.351299,4.485404,2.865889,2.016032,1.132674,0.680938];
[-0.121325,7.519500,5.930347,6.474289,5.167684,5.186182,3.321546,2.738291,1.196417,0.313573];
[0.616767,7.768691,5.930895,6.052698,4.454870,4.229183,3.285080,2.166233,0.748482,0.162372];
[0.183440,7.880932,6.586167,6.084867,4.907346,4.036794,2.830535,1.528954,0.973202,0.216258];
[0.225703,7.007806,6.243983,6.038627,4.813592,4.898752,2.817977,2.957083,0.953506,0.643691];
[0.336230,7.777575,6.434182,6.151789,4.915307,4.106044,3.339547,2.110022,1.000256,0.506254];
[-0.333034,8.216641,5.997073,6.089193,5.835215,4.571679,2.467993,2.038051,1.253072,0.863387];
